run,trace,n_tokens,mean_kl,median_kl,q90_kl,q95_kl,q99_kl,max_kl,above_005,above_005_rate,above_2,above_2_rate
Clipped,trace_0008_15911_gen8,1024,0.1983407150796128,0.029513937421143055,0.3879824846982958,0.6807011961936903,2.58035717725753,19.93450927734375,460,0.44921875,12,0.01171875
No-clip,trace_0008_15911_gen8,1024,0.13907383649208865,0.0013821983593516052,0.1357687771320343,0.3492162913084016,1.8183285653591084,22.01546287536621,208,0.203125,10,0.009765625
No-think + no-clip,trace_0008_15911_gen8,1015,0.03599619868117184,0.0018411155324429274,0.07435154616832736,0.12159840837121008,0.5134431439638143,2.3202335834503174,144,0.14187192118226602,2,0.0019704433497536944
Clipped,trace_0009_28400_gen9,1024,0.12351218414262251,0.003499841899611056,0.23791836053133017,0.3978570371866224,1.1474518477916713,20.2421932220459,328,0.3203125,6,0.005859375
No-clip,trace_0009_28400_gen9,1024,0.12651439810516538,0.001639586582314223,0.16725530475378045,0.3704645216464966,2.4682767796516343,22.90144157409668,239,0.2333984375,13,0.0126953125
No-think + no-clip,trace_0009_28400_gen9,1024,0.05154183597855899,5.0722625019261613e-05,0.07544431388378155,0.1716351874172686,0.908489548563957,4.414824962615967,133,0.1298828125,6,0.005859375
Clipped,trace_0010_13774_gen10,1024,0.12648634135012504,0.013690546620637178,0.3158992916345599,0.435547523200511,0.9010890060663221,19.03247833251953,433,0.4228515625,2,0.001953125
No-clip,trace_0010_13774_gen10,1024,0.08445871927962738,0.005894394591450691,0.1544591099023819,0.2568168893456455,0.6549738740921012,23.026962280273438,268,0.26171875,3,0.0029296875
No-think + no-clip,trace_0010_13774_gen10,1024,0.024705817029182245,0.0002552215155446902,0.06305360645055773,0.11944889612495897,0.3808913767337799,1.6133160591125488,120,0.1171875,0,0.0
Clipped,trace_0011_18694_gen11,1024,0.28362739408557214,0.03093728981912136,0.6046624898910528,1.0009935557842253,3.484972989559173,24.956470489501953,487,0.4755859375,27,0.0263671875
No-clip,trace_0011_18694_gen11,1024,0.11904576480440732,0.009200059343129396,0.22056072801351556,0.47698386609554283,1.3947590613365146,21.096715927124023,314,0.306640625,7,0.0068359375
No-think + no-clip,trace_0011_18694_gen11,338,0.04401692634838695,4.998926897314959e-06,0.09060363695025453,0.1827067099511623,0.5638171923160552,2.477708339691162,46,0.13609467455621302,1,0.0029585798816568047
Clipped,trace_0012_1552_gen12,1024,0.20189133980475943,0.08738188073039055,0.3803557395935062,0.5881819188594818,1.6163443410396534,29.221515655517578,578,0.564453125,6,0.005859375
No-clip,trace_0012_1552_gen12,1024,0.12308258147632387,0.008009623736143112,0.16332738995552076,0.34254852235316957,2.469538600444789,20.903461456298828,260,0.25390625,13,0.0126953125
